zpid,city,streetAddress,zipcode,description,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saledate,latest_salemonth,latest_saleyear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,homeImage
111373431,pflugerville,14424 Lake Victor Dr,78660,"14424 Lake Victor Dr, Pflugerville, TX 78660 is a single family home that contains 2,601 sq ft and was built in 2012. It contains 4 bedrooms and 3 bathrooms. 
 
The Zestimate for this house is $344,417. The Rent Zestimate for this home is $2,195/mo. ",30.43063164,-97.66307831,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2012,305000,5,9/2/2019,9,2019,"Coldwell Banker United, Realtors - South Austin",39,0,5,2,1,3,0,1,0,6011,2601,1,0,1,1,1.266666667,2.666666667,1063,14,3,4,2,111373431_ffce26843283d3365c11d81b8e6bdc6f-p_f.jpg
120900430,pflugerville,1104 Strickling Dr,78660,"Absolutely GORGEOUS 4 Bedroom home with 2 full baths located in the tucked away Pflugerville community The Lakes at Northtown. This home was recently updated with new carpets, new tile kitchen back splash, and fresh paint throughout the entire house. This charming abode is a MUST SEE if you're looking for an affordable home in the Austin area. Something very hard to come by in this market!  Only 14 miles from downtown, this home will accommodate downtown commuting as well as a work from home environment. This community is tucked away and yet only minutes from major retailers and shopping. Do not miss this opportunity!",30.4326725,-97.66169739,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,295000,1,10/13/2020,10,2020,Agent Provided,29,0,1,2,0,0,0,0,0,6185,1768,1,0,1,1,1.4,2.666666667,1063,14,2,4,1,120900430_8255c127be8dcf0a1a18b7563d987088-p_f.jpg
2084491383,pflugerville,1408 Fort Dessau Rd,78660,"Under construction - estimated completion in August 2019.  The Pioneer features an expansive open floorplan, 3 spacious bedrooms, 2 bathrooms, and a stunning kitchen. Upon entering the Pioneer, you will pass through the impressive entry way. Keep walking, and you will pass the two private secondary bedrooms which both have large walk-in closets. The entryway leads you into the huge open family room and kitchen area with a huge island with granite counters.  Next to the kitchen is the dining room, conveniently separated from the main living area of the family room.  A large covered patio greets you as you walk out the back door into the backyard.  A private and spacious master suite is the cherry on top of this home and will provide a quiet place for you to relax after a long day.  This home is very close to the fantastic amenity center.  All of this in just 1472 sqft is a deal that you will find very hard to beat!",30.40974808,-97.63977051,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2018,256125,1,7/31/2019,7,2019,Agent Provided,2,0,4,1,0,1,0,0,0,7840,1478,0,2,1,1,1.2,3,1108,14,2,3,1,2084491383_a2ad649e1a7a098111dcea084a11c855-p_f.jpg
120901374,pflugerville,1025 Strickling Dr,78660,"Absolutely darling one story home in charming story book like The Lakes of Northtown! Built in 2013, this home has hardly been lived in and is just like new. It is perfect for someone looking for low maintenance living that is close to movies, shopping, groceries, and has quick access to the highways!",30.43211174,-97.66165924,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,240000,4,8/8/2018,8,2018,Agent Provided,9,0,0,2,0,0,0,0,0,6098,1678,1,0,1,1,1.4,2.666666667,1063,14,2,3,1,120901374_b469367a619da85b1f5ceb69b675d88e-p_f.jpg
60134862,pflugerville,15005 Donna Jane Loop,78660,"Brimming with appeal & warm livability! Sleek & stylish home with modern finishes & amenities await you! Enjoy the open floor plan, gorgeous gourmet kitchen with center island, spacious living room, high ceiling, stay cozy by the fireplace in family room and so much more! Backyard - perfect for outdoor fun! This won't last!",30.43736839,-97.65686035,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2002,239900,3,10/31/2018,10,2018,Agent Provided,27,0,0,1,0,0,0,0,0,6708,2132,1,0,1,1,1.133333333,4,1223,14,3,3,2,60134862_b1a48a3df3f111e005bb913873e98ce2-p_f.jpg
2080105342,pflugerville,14908 Spring Hill Ln,78660,"14908 Spring Hill Ln, Pflugerville, TX 78660 is a single family home that contains 1,446 sq ft and was built in 2020. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $307,210. ",30.43777466,-97.65618134,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2020,309045,2,8/5/2020,8,2020,Broker Provided,2,0,3,1,2,2,0,0,0,5161,1446,1,0,1,1,1.066666667,4,1223,14,2,3,1,2080105342_553d16748c296fce71f33902edd98d2d-p_f.jpg
241932337,pflugerville,14009 Cantata Ln,78660,"This well-maintained 2016 home in the Retreat at Harris Ridge subdivision offers 4 bedrooms, an office, an upstairs game room, and a convenient location! Located on a corner lot, it has one of the largest backyards in the subdivision for some extra elbow room and privacy, and provides solar panels for energy savings. Even better, the washer, dryer, refrigerator, and $6,300 water softener/whole house water filtration system are included with a full-price offer!

Contact Tanya Kerr at (512) 748-5343 or tanya@jorgensonrealestate.com for more info or to see it first! ",30.4146843,-97.64339447,1.98,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Family,0,2016,315000,2,6/11/2020,6,2020,Broker Provided,36,0,3,1,0,0,0,0,0,12196.8,2432,1,0,1,1,1.233333333,3.666666667,1051,12,3,4,2,241932337_78e2a51227f811bd3c65d6674e8a7939-p_f.jpg
60134835,pflugerville,15009 Drusillas Dr,78660,"Wonderful home, freshly painted throughout, newly laid vinyl plank in kitchen and new carpet!  New roof 10-2016; new garage door 11-2017.   Cozy home with a great patio for backyard BBQ's or morning coffee.  Make this your next home!",30.43940353,-97.65803528,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2002,219900,2,10/10/2018,10,2018,Agent Provided,21,0,3,1,0,0,0,0,0,5140,1422,1,0,1,1,1.166666667,4,1223,14,3,3,2,60134835_47efc51704a66b45a8a134022ceeddb1-p_f.jpg
60134833,pflugerville,1104 Traci Michelle Dr,78660,"Solid 3 bed 2 bath with formal dining/living combo and a study. Spacious kitchen with island to provide lots of counter and cabinet space. All bedrooms up, with a large game room to entertain. Tile flooring throughout, no carpet. Master suite offers separate tub/shower. Quick access to major highway. Bring all offers!",30.43909645,-97.65795898,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2002,225000,1,9/19/2019,9,2019,Agent Provided,16,0,2,1,1,1,0,0,0,3811,1870,1,0,1,1,1.166666667,4,1223,14,2,3,2,60134833_aa596c71096f40a535ce679c788cae36-p_f.jpg
83827468,del valle,6808 Plains Crest Dr,78617,"Beautiful 3 bed 2.5 bath home in great location, spacious family room with vaulted ceilings, kitchen opens to family room, large dining area in kitchen, plenty of counter and cabinet space, beautiful open spindles going up staircase, enormous master bedroom and closet, separate tub and shower, over sized 2nd and 3rd bedrooms, covered front and back porch, huge back yard, minutes from airport, must see this amazing well cared for home.",30.16070175,-97.63812256,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,2,2013,194800,1,9/11/2018,9,2018,Agent Provided,23,0,3,2,0,0,0,0,0,5183,1422,1,0,1,1,1.2,3,1615,14,3,3,2,83827468_017e0605bf1c5f86c4e18c99dd649432-p_f.jpg
